sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,eta
70.7,70.6,71.3,71.0,71.0,70.6,71.0,70.9,71.2,70.8,70.5,71.1,0.84985835694051
70.6,71.3,71.0,71.0,70.6,71.0,70.9,71.2,70.8,70.5,71.1,70.6,0.8368200836820083
71.3,71.0,71.0,70.6,71.0,70.9,71.2,70.8,70.5,71.1,70.6,71.7,0.8391608391608392
71.0,71.0,70.6,71.0,70.9,71.2,70.8,70.5,71.1,70.6,71.7,71.5,0.8583690987124463
71.0,70.6,71.0,70.9,71.2,70.8,70.5,71.1,70.6,71.7,71.5,69.9,0.8486562942008486
70.6,71.0,70.9,71.2,70.8,70.5,71.1,70.6,71.7,71.5,69.9,70.7,0.8450704225352113
71.0,70.9,71.2,70.8,70.5,71.1,70.6,71.7,71.5,69.9,70.7,71.0,0.8486562942008486
70.9,71.2,70.8,70.5,71.1,70.6,71.7,71.5,69.9,70.7,71.0,70.7,0.847457627118644
71.2,70.8,70.5,71.1,70.6,71.7,71.5,69.9,70.7,71.0,70.7,70.8,0.8426966292134831
70.8,70.5,71.1,70.6,71.7,71.5,69.9,70.7,71.0,70.7,70.8,71.2,0.84985835694051
70.5,71.1,70.6,71.7,71.5,69.9,70.7,71.0,70.7,70.8,71.2,70.6,0.8450704225352113
71.1,70.6,71.7,71.5,69.9,70.7,71.0,70.7,70.8,71.2,70.6,71.0,0.8403361344537814
70.6,71.7,71.5,69.9,70.7,71.0,70.7,70.8,71.2,70.6,71.0,71.4,0.8450704225352113
71.7,71.5,69.9,70.7,71.0,70.7,70.8,71.2,70.6,71.0,71.4,71.0,0.847457627118644
71.5,69.9,70.7,71.0,70.7,70.8,71.2,70.6,71.0,71.4,71.0,70.8,0.8462623413258109
69.9,70.7,71.0,70.7,70.8,71.2,70.6,71.0,71.4,71.0,70.8,70.9,0.8368200836820083
70.7,71.0,70.7,70.8,71.2,70.6,71.0,71.4,71.0,70.8,70.9,71.7,0.8426966292134831
71.0,70.7,70.8,71.2,70.6,71.0,71.4,71.0,70.8,70.9,71.7,71.2,0.8356545961002786
70.7,70.8,71.2,70.6,71.0,71.4,71.0,70.8,70.9,71.7,71.2,71.8,0.8403361344537814
70.8,71.2,70.6,71.0,71.4,71.0,70.8,70.9,71.7,71.2,71.8,71.4,0.84985835694051
71.2,70.6,71.0,71.4,71.0,70.8,70.9,71.7,71.2,71.8,71.4,70.6,0.8426966292134831
70.6,71.0,71.4,71.0,70.8,70.9,71.7,71.2,71.8,71.4,70.6,71.2,0.8391608391608392
71.0,71.4,71.0,70.8,70.9,71.7,71.2,71.8,71.4,70.6,71.2,71.5,0.8344923504867872
71.4,71.0,70.8,70.9,71.7,71.2,71.8,71.4,70.6,71.2,71.5,71.9,0.8356545961002786
71.0,70.8,70.9,71.7,71.2,71.8,71.4,70.6,71.2,71.5,71.9,71.8,0.8310249307479224
70.8,70.9,71.7,71.2,71.8,71.4,70.6,71.2,71.5,71.9,71.8,72.2,0.8379888268156425
70.9,71.7,71.2,71.8,71.4,70.6,71.2,71.5,71.9,71.8,72.2,71.6,0.8356545961002786
71.7,71.2,71.8,71.4,70.6,71.2,71.5,71.9,71.8,72.2,71.6,71.8,0.8356545961002786
71.2,71.8,71.4,70.6,71.2,71.5,71.9,71.8,72.2,71.6,71.8,71.8,0.8310249307479224
71.8,71.4,70.6,71.2,71.5,71.9,71.8,72.2,71.6,71.8,71.8,72.2,0.8321775312066575
71.4,70.6,71.2,71.5,71.9,71.8,72.2,71.6,71.8,71.8,72.2,72.1,0.8379888268156425
70.6,71.2,71.5,71.9,71.8,72.2,71.6,71.8,71.8,72.2,72.1,71.6,0.8403361344537814
71.2,71.5,71.9,71.8,72.2,71.6,71.8,71.8,72.2,72.1,71.6,71.4,0.8450704225352113
71.5,71.9,71.8,72.2,71.6,71.8,71.8,72.2,72.1,71.6,71.4,71.0,0.8426966292134831
71.9,71.8,72.2,71.6,71.8,71.8,72.2,72.1,71.6,71.4,71.0,71.2,0.841514726507714
71.8,72.2,71.6,71.8,71.8,72.2,72.1,71.6,71.4,71.0,71.2,71.3,0.8403361344537814
72.2,71.6,71.8,71.8,72.2,72.1,71.6,71.4,71.0,71.2,71.3,71.4,0.8438818565400844
71.6,71.8,71.8,72.2,72.1,71.6,71.4,71.0,71.2,71.3,71.4,71.1,0.8403361344537814
71.8,71.8,72.2,72.1,71.6,71.4,71.0,71.2,71.3,71.4,71.1,71.4,0.8368200836820083
71.8,72.2,72.1,71.6,71.4,71.0,71.2,71.3,71.4,71.1,71.4,71.7,0.8403361344537814
72.2,72.1,71.6,71.4,71.0,71.2,71.3,71.4,71.1,71.4,71.7,71.4,0.8379888268156425
72.1,71.6,71.4,71.0,71.2,71.3,71.4,71.1,71.4,71.7,71.4,71.6,0.8356545961002786
71.6,71.4,71.0,71.2,71.3,71.4,71.1,71.4,71.7,71.4,71.6,71.8,0.8368200836820083
71.4,71.0,71.2,71.3,71.4,71.1,71.4,71.7,71.4,71.6,71.8,71.7,0.8333333333333333
71.0,71.2,71.3,71.4,71.1,71.4,71.7,71.4,71.6,71.8,71.7,72.0,0.8368200836820083
71.2,71.3,71.4,71.1,71.4,71.7,71.4,71.6,71.8,71.7,72.0,71.7,0.8368200836820083
71.3,71.4,71.1,71.4,71.7,71.4,71.6,71.8,71.7,72.0,71.7,71.7,0.8344923504867872
71.4,71.1,71.4,71.7,71.4,71.6,71.8,71.7,72.0,71.7,71.7,71.9,0.8344923504867872
71.1,71.4,71.7,71.4,71.6,71.8,71.7,72.0,71.7,71.7,71.9,71.9,0.8356545961002786
71.4,71.7,71.4,71.6,71.8,71.7,72.0,71.7,71.7,71.9,71.9,71.8,0.8391608391608392
71.7,71.4,71.6,71.8,71.7,72.0,71.7,71.7,71.9,71.9,71.8,71.5,0.8368200836820083
71.4,71.6,71.8,71.7,72.0,71.7,71.7,71.9,71.9,71.8,71.5,71.7,0.8391608391608392
71.6,71.8,71.7,72.0,71.7,71.7,71.9,71.9,71.8,71.5,71.7,71.5,0.8379888268156425
71.8,71.7,72.0,71.7,71.7,71.9,71.9,71.8,71.5,71.7,71.5,71.6,0.8356545961002786
71.7,72.0,71.7,71.7,71.9,71.9,71.8,71.5,71.7,71.5,71.6,71.8,0.8368200836820083
72.0,71.7,71.7,71.9,71.9,71.8,71.5,71.7,71.5,71.6,71.8,71.7,0.8333333333333333
71.7,71.7,71.9,71.9,71.8,71.5,71.7,71.5,71.6,71.8,71.7,72.0,0.8356545961002786
71.7,71.9,71.9,71.8,71.5,71.7,71.5,71.6,71.8,71.7,72.0,71.8,0.8368200836820083
71.9,71.9,71.8,71.5,71.7,71.5,71.6,71.8,71.7,72.0,71.8,71.7,0.8356545961002786
71.9,71.8,71.5,71.7,71.5,71.6,71.8,71.7,72.0,71.8,71.7,71.8,0.8344923504867872
71.8,71.5,71.7,71.5,71.6,71.8,71.7,72.0,71.8,71.7,71.8,71.9,0.8462623413258109
71.5,71.7,71.5,71.6,71.8,71.7,72.0,71.8,71.7,71.8,71.9,70.9,0.8403361344537814
71.7,71.5,71.6,71.8,71.7,72.0,71.8,71.7,71.8,71.9,70.9,71.4,0.8368200836820083
71.5,71.6,71.8,71.7,72.0,71.8,71.7,71.8,71.9,70.9,71.4,71.7,0.8310249307479224
71.6,71.8,71.7,72.0,71.8,71.7,71.8,71.9,70.9,71.4,71.7,72.2,0.8391608391608392
71.8,71.7,72.0,71.8,71.7,71.8,71.9,70.9,71.4,71.7,72.2,71.5,0.8356545961002786
71.7,72.0,71.8,71.7,71.8,71.9,70.9,71.4,71.7,72.2,71.5,71.8,0.8356545961002786
72.0,71.8,71.7,71.8,71.9,70.9,71.4,71.7,72.2,71.5,71.8,71.8,0.8356545961002786
71.8,71.7,71.8,71.9,70.9,71.4,71.7,72.2,71.5,71.8,71.8,71.8,0.8275862068965517
71.7,71.8,71.9,70.9,71.4,71.7,72.2,71.5,71.8,71.8,71.8,72.5,0.8253094910591472
71.8,71.9,70.9,71.4,71.7,72.2,71.5,71.8,71.8,71.8,72.5,72.7,0.8344923504867872
71.9,70.9,71.4,71.7,72.2,71.5,71.8,71.8,71.8,72.5,72.7,71.9,0.8287292817679558
70.9,71.4,71.7,72.2,71.5,71.8,71.8,71.8,72.5,72.7,71.9,72.4,0.8321775312066575
71.4,71.7,72.2,71.5,71.8,71.8,71.8,72.5,72.7,71.9,72.4,72.1,0.8310249307479224
71.7,72.2,71.5,71.8,71.8,71.8,72.5,72.7,71.9,72.4,72.1,72.2,0.8253094910591472
72.2,71.5,71.8,71.8,71.8,72.5,72.7,71.9,72.4,72.1,72.2,72.7,0.8333333333333333
71.5,71.8,71.8,71.8,72.5,72.7,71.9,72.4,72.1,72.2,72.7,72.0,0.8298755186721992
71.8,71.8,71.8,72.5,72.7,71.9,72.4,72.1,72.2,72.7,72.0,72.3,0.8298755186721992
71.8,71.8,72.5,72.7,71.9,72.4,72.1,72.2,72.7,72.0,72.3,72.3,0.8344923504867872
71.8,72.5,72.7,71.9,72.4,72.1,72.2,72.7,72.0,72.3,72.3,71.9,0.8379888268156425
72.5,72.7,71.9,72.4,72.1,72.2,72.7,72.0,72.3,72.3,71.9,71.6,0.8264462809917356
72.7,71.9,72.4,72.1,72.2,72.7,72.0,72.3,72.3,71.9,71.6,72.6,0.8310249307479224
71.9,72.4,72.1,72.2,72.7,72.0,72.3,72.3,71.9,71.6,72.6,72.2,0.8321775312066575
72.4,72.1,72.2,72.7,72.0,72.3,72.3,71.9,71.6,72.6,72.2,72.1,0.8333333333333333
72.1,72.2,72.7,72.0,72.3,72.3,71.9,71.6,72.6,72.2,72.1,72.0,0.8298755186721992
72.2,72.7,72.0,72.3,72.3,71.9,71.6,72.6,72.2,72.1,72.0,72.3,0.8321775312066575
72.7,72.0,72.3,72.3,71.9,71.6,72.6,72.2,72.1,72.0,72.3,72.1,0.8333333333333333
72.0,72.3,72.3,71.9,71.6,72.6,72.2,72.1,72.0,72.3,72.1,72.0,0.8275862068965517
72.3,72.3,71.9,71.6,72.6,72.2,72.1,72.0,72.3,72.1,72.0,72.5,0.8287292817679558
72.3,71.9,71.6,72.6,72.2,72.1,72.0,72.3,72.1,72.0,72.5,72.4,0.8298755186721992
71.9,71.6,72.6,72.2,72.1,72.0,72.3,72.1,72.0,72.5,72.4,72.3,0.8356545961002786
71.6,72.6,72.2,72.1,72.0,72.3,72.1,72.0,72.5,72.4,72.3,71.8,0.8356545961002786
72.6,72.2,72.1,72.0,72.3,72.1,72.0,72.5,72.4,72.3,71.8,71.8,0.8403361344537814
72.2,72.1,72.0,72.3,72.1,72.0,72.5,72.4,72.3,71.8,71.8,71.4,0.8462623413258109
72.1,72.0,72.3,72.1,72.0,72.5,72.4,72.3,71.8,71.8,71.4,70.9,0.8426966292134831
72.0,72.3,72.1,72.0,72.5,72.4,72.3,71.8,71.8,71.4,70.9,71.2,0.8462623413258109
72.3,72.1,72.0,72.5,72.4,72.3,71.8,71.8,71.4,70.9,71.2,70.9,0.8450704225352113
72.1,72.0,72.5,72.4,72.3,71.8,71.8,71.4,70.9,71.2,70.9,71.0,0.84985835694051
72.0,72.5,72.4,72.3,71.8,71.8,71.4,70.9,71.2,70.9,71.0,70.6,0.8462623413258109
72.5,72.4,72.3,71.8,71.8,71.4,70.9,71.2,70.9,71.0,70.6,70.9,0.8547008547008548
72.4,72.3,71.8,71.8,71.4,70.9,71.2,70.9,71.0,70.6,70.9,70.2,0.860832137733142
72.3,71.8,71.8,71.4,70.9,71.2,70.9,71.0,70.6,70.9,70.2,69.7,0.8595988538681949
71.8,71.8,71.4,70.9,71.2,70.9,71.0,70.6,70.9,70.2,69.7,69.8,0.8645533141210374
71.8,71.4,70.9,71.2,70.9,71.0,70.6,70.9,70.2,69.7,69.8,69.4,0.8559201141226819
71.4,70.9,71.2,70.9,71.0,70.6,70.9,70.2,69.7,69.8,69.4,70.1,0.8583690987124463
70.9,71.2,70.9,71.0,70.6,70.9,70.2,69.7,69.8,69.4,70.1,69.9,0.8683068017366137
71.2,70.9,71.0,70.6,70.9,70.2,69.7,69.8,69.4,70.1,69.9,69.1,0.84985835694051
70.9,71.0,70.6,70.9,70.2,69.7,69.8,69.4,70.1,69.9,69.1,70.6,0.84985835694051
71.0,70.6,70.9,70.2,69.7,69.8,69.4,70.1,69.9,69.1,70.6,70.6,0.851063829787234
70.6,70.9,70.2,69.7,69.8,69.4,70.1,69.9,69.1,70.6,70.6,70.5,0.8403361344537814
70.9,70.2,69.7,69.8,69.4,70.1,69.9,69.1,70.6,70.6,70.5,71.4,0.8486562942008486
70.2,69.7,69.8,69.4,70.1,69.9,69.1,70.6,70.6,70.5,71.4,70.7,0.8450704225352113
69.7,69.8,69.4,70.1,69.9,69.1,70.6,70.6,70.5,71.4,70.7,71.0,0.841514726507714
69.8,69.4,70.1,69.9,69.1,70.6,70.6,70.5,71.4,70.7,71.0,71.3,0.8403361344537814
69.4,70.1,69.9,69.1,70.6,70.6,70.5,71.4,70.7,71.0,71.3,71.4,0.847457627118644
70.1,69.9,69.1,70.6,70.6,70.5,71.4,70.7,71.0,71.3,71.4,70.8,0.8462623413258109
69.9,69.1,70.6,70.6,70.5,71.4,70.7,71.0,71.3,71.4,70.8,70.9,0.847457627118644
69.1,70.6,70.6,70.5,71.4,70.7,71.0,71.3,71.4,70.8,70.9,70.8,0.847457627118644
70.6,70.6,70.5,71.4,70.7,71.0,71.3,71.4,70.8,70.9,70.8,70.8,0.8595988538681949
70.6,70.5,71.4,70.7,71.0,71.3,71.4,70.8,70.9,70.8,70.8,69.8,0.8583690987124463
70.5,71.4,70.7,71.0,71.3,71.4,70.8,70.9,70.8,70.8,69.8,69.9,0.8571428571428571
71.4,70.7,71.0,71.3,71.4,70.8,70.9,70.8,70.8,69.8,69.9,70.0,0.8583690987124463
70.7,71.0,71.3,71.4,70.8,70.9,70.8,70.8,69.8,69.9,70.0,69.9,0.8583690987124463
71.0,71.3,71.4,70.8,70.9,70.8,70.8,69.8,69.9,70.0,69.9,69.9,0.8595988538681949
71.3,71.4,70.8,70.9,70.8,70.8,69.8,69.9,70.0,69.9,69.9,69.8,0.8645533141210374
71.4,70.8,70.9,70.8,70.8,69.8,69.9,70.0,69.9,69.9,69.8,69.4,0.872093023255814
70.8,70.9,70.8,70.8,69.8,69.9,70.0,69.9,69.9,69.8,69.4,68.8,0.8683068017366137
70.9,70.8,70.8,69.8,69.9,70.0,69.9,69.9,69.8,69.4,68.8,69.1,0.8695652173913043
70.8,70.8,69.8,69.9,70.0,69.9,69.9,69.8,69.4,68.8,69.1,69.0,0.8559201141226819
70.8,69.8,69.9,70.0,69.9,69.9,69.8,69.4,68.8,69.1,69.0,70.1,0.8559201141226819
69.8,69.9,70.0,69.9,69.9,69.8,69.4,68.8,69.1,69.0,70.1,70.1,0.8486562942008486
69.9,70.0,69.9,69.9,69.8,69.4,68.8,69.1,69.0,70.1,70.1,70.7,0.84985835694051
70.0,69.9,69.9,69.8,69.4,68.8,69.1,69.0,70.1,70.1,70.7,70.6,0.8450704225352113
69.9,69.9,69.8,69.4,68.8,69.1,69.0,70.1,70.1,70.7,70.6,71.0,0.847457627118644
69.9,69.8,69.4,68.8,69.1,69.0,70.1,70.1,70.7,70.6,71.0,70.8,0.8486562942008486
69.8,69.4,68.8,69.1,69.0,70.1,70.1,70.7,70.6,71.0,70.8,70.7,0.8559201141226819
69.4,68.8,69.1,69.0,70.1,70.1,70.7,70.6,71.0,70.8,70.7,70.1,0.8571428571428571
68.8,69.1,69.0,70.1,70.1,70.7,70.6,71.0,70.8,70.7,70.1,70.0,0.8620689655172414
69.1,69.0,70.1,70.1,70.7,70.6,71.0,70.8,70.7,70.1,70.0,69.6,0.8708272859216255
69.0,70.1,70.1,70.7,70.6,71.0,70.8,70.7,70.1,70.0,69.6,68.9,0.8633093525179857
70.1,70.1,70.7,70.6,71.0,70.8,70.7,70.1,70.0,69.6,68.9,69.5,0.8559201141226819
70.1,70.7,70.6,71.0,70.8,70.7,70.1,70.0,69.6,68.9,69.5,70.1,0.851063829787234
70.7,70.6,71.0,70.8,70.7,70.1,70.0,69.6,68.9,69.5,70.1,70.5,0.8547008547008548
70.6,71.0,70.8,70.7,70.1,70.0,69.6,68.9,69.5,70.1,70.5,70.2,0.8547008547008548
71.0,70.8,70.7,70.1,70.0,69.6,68.9,69.5,70.1,70.5,70.2,70.2,0.8534850640113798
70.8,70.7,70.1,70.0,69.6,68.9,69.5,70.1,70.5,70.2,70.2,70.3,0.8583690987124463
70.7,70.1,70.0,69.6,68.9,69.5,70.1,70.5,70.2,70.2,70.3,69.9,0.8522727272727273
70.1,70.0,69.6,68.9,69.5,70.1,70.5,70.2,70.2,70.3,69.9,70.4,0.8522727272727273
70.0,69.6,68.9,69.5,70.1,70.5,70.2,70.2,70.3,69.9,70.4,70.4,0.8620689655172414
69.6,68.9,69.5,70.1,70.5,70.2,70.2,70.3,69.9,70.4,70.4,69.6,0.860832137733142
68.9,69.5,70.1,70.5,70.2,70.2,70.3,69.9,70.4,70.4,69.6,69.7,0.8547008547008548
69.5,70.1,70.5,70.2,70.2,70.3,69.9,70.4,70.4,69.6,69.7,70.2,0.8583690987124463
70.1,70.5,70.2,70.2,70.3,69.9,70.4,70.4,69.6,69.7,70.2,69.9,0.8559201141226819
70.5,70.2,70.2,70.3,69.9,70.4,70.4,69.6,69.7,70.2,69.9,70.1,0.8534850640113798
70.2,70.2,70.3,69.9,70.4,70.4,69.6,69.7,70.2,69.9,70.1,70.3,0.851063829787234
70.2,70.3,69.9,70.4,70.4,69.6,69.7,70.2,69.9,70.1,70.3,70.5,0.8595988538681949
70.3,69.9,70.4,70.4,69.6,69.7,70.2,69.9,70.1,70.3,70.5,69.8,0.8633093525179857
69.9,70.4,70.4,69.6,69.7,70.2,69.9,70.1,70.3,70.5,69.8,69.5,0.860832137733142
70.4,70.4,69.6,69.7,70.2,69.9,70.1,70.3,70.5,69.8,69.5,69.7,0.8571428571428571
70.4,69.6,69.7,70.2,69.9,70.1,70.3,70.5,69.8,69.5,69.7,70.0,0.8571428571428571
69.6,69.7,70.2,69.9,70.1,70.3,70.5,69.8,69.5,69.7,70.0,70.0,0.8658008658008658
69.7,70.2,69.9,70.1,70.3,70.5,69.8,69.5,69.7,70.0,70.0,69.3,0.872093023255814
70.2,69.9,70.1,70.3,70.5,69.8,69.5,69.7,70.0,70.0,69.3,68.8,0.8928571428571428
69.9,70.1,70.3,70.5,69.8,69.5,69.7,70.0,70.0,69.3,68.8,67.2,0.8955223880597015
70.1,70.3,70.5,69.8,69.5,69.7,70.0,70.0,69.3,68.8,67.2,67.0,0.8836524300441825
70.3,70.5,69.8,69.5,69.7,70.0,70.0,69.3,68.8,67.2,67.0,67.9,0.8771929824561403
70.5,69.8,69.5,69.7,70.0,70.0,69.3,68.8,67.2,67.0,67.9,68.4,0.8746355685131196
69.8,69.5,69.7,70.0,70.0,69.3,68.8,67.2,67.0,67.9,68.4,68.6,0.8670520231213873
69.5,69.7,70.0,70.0,69.3,68.8,67.2,67.0,67.9,68.4,68.6,69.2,0.875912408759124
69.7,70.0,70.0,69.3,68.8,67.2,67.0,67.9,68.4,68.6,69.2,68.5,0.8823529411764706
70.0,70.0,69.3,68.8,67.2,67.0,67.9,68.4,68.6,69.2,68.5,68.0,0.9063444108761329
70.0,69.3,68.8,67.2,67.0,67.9,68.4,68.6,69.2,68.5,68.0,66.2,0.9022556390977443
69.3,68.8,67.2,67.0,67.9,68.4,68.6,69.2,68.5,68.0,66.2,66.5,0.916030534351145
68.8,67.2,67.0,67.9,68.4,68.6,69.2,68.5,68.0,66.2,66.5,65.5,0.9244992295839752
67.2,67.0,67.9,68.4,68.6,69.2,68.5,68.0,66.2,66.5,65.5,64.9,0.9230769230769231
67.0,67.9,68.4,68.6,69.2,68.5,68.0,66.2,66.5,65.5,64.9,65.0,0.9259259259259259
67.9,68.4,68.6,69.2,68.5,68.0,66.2,66.5,65.5,64.9,65.0,64.8,0.8823529411764706
68.4,68.6,69.2,68.5,68.0,66.2,66.5,65.5,64.9,65.0,64.8,68.0,0.8571428571428571
68.6,69.2,68.5,68.0,66.2,66.5,65.5,64.9,65.0,64.8,68.0,70.0,0.8522727272727273
69.2,68.5,68.0,66.2,66.5,65.5,64.9,65.0,64.8,68.0,70.0,70.4,0.8426966292134831
68.5,68.0,66.2,66.5,65.5,64.9,65.0,64.8,68.0,70.0,70.4,71.2,0.8264462809917356
68.0,66.2,66.5,65.5,64.9,65.0,64.8,68.0,70.0,70.4,71.2,72.6,0.8241758241758241
66.2,66.5,65.5,64.9,65.0,64.8,68.0,70.0,70.4,71.2,72.6,72.8,0.8275862068965517
66.5,65.5,64.9,65.0,64.8,68.0,70.0,70.4,71.2,72.6,72.8,72.5,0.8174386920980925
65.5,64.9,65.0,64.8,68.0,70.0,70.4,71.2,72.6,72.8,72.5,73.4,0.821917808219178
64.9,65.0,64.8,68.0,70.0,70.4,71.2,72.6,72.8,72.5,73.4,73.0,0.8141112618724559
65.0,64.8,68.0,70.0,70.4,71.2,72.6,72.8,72.5,73.4,73.0,73.7,0.8152173913043479
64.8,68.0,70.0,70.4,71.2,72.6,72.8,72.5,73.4,73.0,73.7,73.6,0.8086253369272236
68.0,70.0,70.4,71.2,72.6,72.8,72.5,73.4,73.0,73.7,73.6,74.2,0.8253094910591472
70.0,70.4,71.2,72.6,72.8,72.5,73.4,73.0,73.7,73.6,74.2,72.7,0.8230452674897119
70.4,71.2,72.6,72.8,72.5,73.4,73.0,73.7,73.6,74.2,72.7,72.9,0.8275862068965517
71.2,72.6,72.8,72.5,73.4,73.0,73.7,73.6,74.2,72.7,72.9,72.5,0.821917808219178
72.6,72.8,72.5,73.4,73.0,73.7,73.6,74.2,72.7,72.9,72.5,73.0,0.821917808219178
72.8,72.5,73.4,73.0,73.7,73.6,74.2,72.7,72.9,72.5,73.0,73.0,0.8207934336525309
72.5,73.4,73.0,73.7,73.6,74.2,72.7,72.9,72.5,73.0,73.0,73.1,0.821917808219178
73.4,73.0,73.7,73.6,74.2,72.7,72.9,72.5,73.0,73.0,73.1,73.0,0.8174386920980925
73.0,73.7,73.6,74.2,72.7,72.9,72.5,73.0,73.0,73.1,73.0,73.4,0.8241758241758241
73.7,73.6,74.2,72.7,72.9,72.5,73.0,73.0,73.1,73.0,73.4,72.8,0.8264462809917356
73.6,74.2,72.7,72.9,72.5,73.0,73.0,73.1,73.0,73.4,72.8,72.6,0.8253094910591472
74.2,72.7,72.9,72.5,73.0,73.0,73.1,73.0,73.4,72.8,72.6,72.7,0.821917808219178
72.7,72.9,72.5,73.0,73.0,73.1,73.0,73.4,72.8,72.6,72.7,73.0,0.8152173913043479
72.9,72.5,73.0,73.0,73.1,73.0,73.4,72.8,72.6,72.7,73.0,73.6,0.8253094910591472
72.5,73.0,73.0,73.1,73.0,73.4,72.8,72.6,72.7,73.0,73.6,72.7,0.8241758241758241
73.0,73.0,73.1,73.0,73.4,72.8,72.6,72.7,73.0,73.6,72.7,72.8,0.8298755186721992
73.0,73.1,73.0,73.4,72.8,72.6,72.7,73.0,73.6,72.7,72.8,72.3,0.8298755186721992
73.1,73.0,73.4,72.8,72.6,72.7,73.0,73.6,72.7,72.8,72.3,72.3,0.8344923504867872
73.0,73.4,72.8,72.6,72.7,73.0,73.6,72.7,72.8,72.3,72.3,71.9,0.8253094910591472
73.4,72.8,72.6,72.7,73.0,73.6,72.7,72.8,72.3,72.3,71.9,72.7,0.8264462809917356
72.8,72.6,72.7,73.0,73.6,72.7,72.8,72.3,72.3,71.9,72.7,72.6,0.8298755186721992
72.6,72.7,73.0,73.6,72.7,72.8,72.3,72.3,71.9,72.7,72.6,72.3,0.8321775312066575
72.7,73.0,73.6,72.7,72.8,72.3,72.3,71.9,72.7,72.6,72.3,72.1,0.8333333333333333
73.0,73.6,72.7,72.8,72.3,72.3,71.9,72.7,72.6,72.3,72.1,72.0,0.8333333333333333
73.6,72.7,72.8,72.3,72.3,71.9,72.7,72.6,72.3,72.1,72.0,72.0,0.8344923504867872
72.7,72.8,72.3,72.3,71.9,72.7,72.6,72.3,72.1,72.0,72.0,71.9,0.8379888268156425
72.8,72.3,72.3,71.9,72.7,72.6,72.3,72.1,72.0,72.0,71.9,71.6,0.8298755186721992
